Genus,Group,Family,Source
Aa,A,Orchidaceae,APG4
Aakia,A,Poaceae,APG4
Aalius,A,Phyllanthaceae,APG4
Aaronsohnia,A,Asteraceae,APG4
Abacopteris,F,Thelypteridaceae,TPL
Abacosa,A,Fabaceae,APG4
Abama,A,Nartheciaceae,APG4
Abarema,A,Fabaceae,APG4
Abasoloa,A,Asteraceae,APG4
Abatia,A,Salicaceae,APG4
Abauria,A,Fabaceae,APG4
Abbevillea,A,Myrtaceae,APG4
Abbottia,A,Rubiaceae,APG4
Abdominea,A,Orchidaceae,APG4
Abdra,A,Brassicaceae,APG4
Abdulmajidia,A,Lecythidaceae,APG4
Abebaia,A,Sapotaceae,APG4
Abelia,A,Caprifoliaceae,APG4
Abelicea,A,Ulmaceae,APG4
Abeliophyllum,A,Oleaceae,APG4
Abelmoschus,A,Malvaceae,APG4
Aberemoa,A,Annonaceae,APG4
Aberia,A,Salicaceae,APG4
Abies,G,Pinaceae,Apweb
Abildgaardia,A,Cyperaceae,APG4
Abobra,A,Cucurbitaceae,APG4
Abolboda,A,Xyridaceae,APG4
Aboriella,A,Urticaceae,APG4
Abortopetalum,A,Malvaceae,APG4
Abrahamia,A,Anacardiaceae,APG4
Abramsia,A,Rubiaceae,APG4
Abrodictyum,F,Hymenophyllaceae,TPL
Abroma,A,Malvaceae,APG4
Abromeitia,A,Primulaceae,APG4
Abromeitiella,A,Bromeliaceae,APG4
Abronia,A,Nyctaginaceae,APG4
Abrophyllum,A,Rousseaceae,APG4
Abrotanella,A,Asteraceae,APG4
Abrus,A,Fabaceae,APG4
Absinthium,A,Asteraceae,APG4
Absolmsia,A,Apocynaceae,APG4
Abumon,A,Amaryllidaceae,APG4
Abuta,A,Menispermaceae,APG4
Abutilon,A,Malvaceae,APG4
Abutilothamnus,A,Malvaceae,APG4
Abutua,G,Gnetaceae,Apweb
Acacallis,A,Orchidaceae,APG4
Acachmena,A,Brassicaceae,APG4
Acacia,A,Fabaceae,APG4
Acaciella,A,Fabaceae,APG4
Acaciopsis,A,Fabaceae,APG4
Acaena,A,Rosaceae,APG4
Acalypha,A,Euphorbiaceae,APG4
Acalyphes,A,Euphorbiaceae,APG4
Acalyphopsis,A,Euphorbiaceae,APG4
Acampe,A,Orchidaceae,APG4
Acamptoclados,A,Poaceae,APG4
Acamptopappus,A,Asteraceae,APG4
Acanthanthus,A,Cactaceae,APG4
Acantharia,A,Fabaceae,APG4
Acanthella,A,Melastomataceae,APG4
Acanthephippium,A,Orchidaceae,APG4
Acanthinophyllum,A,Moraceae,APG4
Acanthobotrya,A,Fabaceae,APG4
Acanthocalycium,A,Cactaceae,APG4
Acanthocalyx,A,Caprifoliaceae,APG4
Acanthocapparis,A,Capparaceae,APG4
Acanthocardamum,A,Brassicaceae,APG4
Acanthocarpus,A,Asparagaceae,APG4
Acanthocaulon,A,Euphorbiaceae,APG4
Acanthocephala,A,Cactaceae,APG4
Acanthocephalus,A,Asteraceae,APG4
Acanthocereus,A,Cactaceae,APG4
Acanthochiton,A,Amaranthaceae,APG4
Acanthochlamys,A,Velloziaceae,APG4
Acanthocladium,A,Asteraceae,APG4
Acanthocladus,A,Polygalaceae,APG4
Acanthococos,A,Arecaceae,APG4
Acanthodesmos,A,Asteraceae,APG4
Acanthodium,A,Acanthaceae,APG4
Acanthogilia,A,Polemoniaceae,APG4
Acanthoglossum,A,Orchidaceae,APG4
Acanthogonum,A,Polygonaceae,APG4
Acantholepis,A,Asteraceae,APG4
Acantholimon,A,Plumbaginaceae,APG4
Acantholippia,A,Verbenaceae,APG4
Acantholobivia,A,Cactaceae,APG4
Acantholoma,A,Euphorbiaceae,APG4
Acanthomintha,A,Lamiaceae,APG4
Acanthonema,A,Gesneriaceae,APG4
Acanthopale,A,Acanthaceae,APG4
Acanthopanax,A,Araliaceae,APG4
Acanthopetalus,A,Cactaceae,APG4
Acanthophaca,A,Fabaceae,APG4
Acanthophippium,A,Orchidaceae,APG4
Acanthophoenix,A,Arecaceae,APG4
Acanthophora,A,Araliaceae,APG4
Acanthophyllum,A,Caryophyllaceae,APG4
Acanthoprasium,A,Lamiaceae,APG4
Acanthopsis,A,Acanthaceae,APG4
Acanthopteron,A,Fabaceae,APG4
Acanthopyxis,A,Euphorbiaceae,APG4
Acanthorhipsalis,A,Cactaceae,APG4
Acanthorrhinum,A,Plantaginaceae,APG4
Acanthorrhiza,A,Arecaceae,APG4
Acanthosabal,A,Arecaceae,APG4
Acanthoscyphus,A,Polygonaceae,APG4
Acanthosicyos,A,Cucurbitaceae,APG4
Acanthosicyus,A,Cucurbitaceae,APG4
Acanthospermum,A,Asteraceae,APG4
Acanthosphaera,A,Moraceae,APG4
Acanthostachys,A,Bromeliaceae,APG4
Acanthostelma,A,Acanthaceae,APG4
Acanthostemma,A,Apocynaceae,APG4
Acanthostyles,A,Asteraceae,APG4
Acanthosyris,A,Santalaceae,APG4
Acanthothamnus,A,Celastraceae,APG4
Acanthotreculia,A,Moraceae,APG4
Acanthotrichilia,A,Meliaceae,APG4
Acanthoxanthium,A,Asteraceae,APG4
Acanthura,A,Acanthaceae,APG4
Acanthus,A,Acanthaceae,APG4
Acanthyllis,A,Fabaceae,APG4
Acareosperma,A,Vitaceae,APG4
Acarna,A,Asteraceae,APG4
Acarpha,A,Calyceraceae,APG4
Acarphaea,A,Asteraceae,APG4
Acaulimalva,A,Malvaceae,APG4
Acaulon,A,Aizoaceae,APG4
Acca,A,Myrtaceae,APG4
Accara,A,Myrtaceae,APG4
Accia,A,Euphorbiaceae,APG4
Accorombona,A,Fabaceae,APG4
Acelica,A,Acanthaceae,APG4
Acentra,A,Violaceae,APG4
Acer,A,Sapindaceae,APG4
Aceranthus,A,Berberidaceae,APG4
Aceras,A,Orchidaceae,APG4
Acerates,A,Apocynaceae,APG4
Aceratium,A,Elaeocarpaceae,APG4
Aceratoglossum X,A,Orchidaceae,APG4
Aceratorchis,A,Orchidaceae,APG4
Aceriphyllum,A,Saxifragaceae,APG4
Acetosa,A,Polygonaceae,APG4
Achaenipodium,A,Asteraceae,APG4
Achaeta,A,Poaceae,APG4
Achaetogeron,A,Asteraceae,APG4
Achania,A,Malvaceae,APG4
Achantia,A,Malvaceae,APG4
Acharagma,A,Cactaceae,APG4
Acharia,A,Achariaceae,APG4
Achasma,A,Zingiberaceae,APG4
Achatocarpus,A,Achatocarpaceae,APG4
Achetaria,A,Plantaginaceae,APG4
Achicodonia X,A,Gesneriaceae,APG4
Achillea,A,Asteraceae,APG4
Achimenantha,A,Gesneriaceae,APG4
Achimenes,A,Gesneriaceae,APG4
Achlaena,A,Poaceae,APG4
Achlydosa,A,Orchidaceae,APG4
